Year,Count
2026,12
2025,11372
2024,13403
2023,12660
2022,12476
2021,12568
2020,10971
2019,9964
2018,9193
2017,8767
2016,8685
2015,8109
2014,7520
2013,6543
2012,6405
2011,6018
2010,5453
2009,4955
2008,4541
2007,4180
2006,3912
2005,3346
2004,2561
2003,1731
2002,1060
2001,529
2000,220
1999,60
1998,22
1997,1
1993,1
